[ 0.22067687  0.17655684 -0.38055722]
[ 0.22074471  0.17614323 -0.38027178]
[ 0.22183434  0.16061655 -0.3827524 ]
[ 0.22202664  0.16514408 -0.38192734]
[ 0.22209228  0.18243065 -0.38426391]
[ 0.22301599  0.15666824 -0.3832028 ]
[ 0.22330823  0.18751896 -0.38747639]
[ 0.22466858  0.18941215 -0.38853921]
[ 0.22476659  0.18956119 -0.38862421]
[ 0.22627582  0.15160471 -0.38343252]
[ 0.23065804  0.19890465 -0.39086288]
[ 0.23409251  0.13918311 -0.38473215]
[ 0.23432704  0.13864379 -0.38480678]
[ 0.23452342  0.13829934 -0.38484636]
[ 0.23503642  0.13788009 -0.38484695]
[ 0.23534027  0.20223299 -0.3909825 ]
[ 0.23977013  0.2053456  -0.39108096]
[ 0.24352451  0.13179679 -0.3846742 ]
[ 0.24423518  0.20705903 -0.39060348]
[ 0.24692448  0.20804269 -0.38946907]
[ 0.24734949  0.20813197 -0.3892714 ]
[ 0.25086561  0.12629449 -0.38457636]
[ 0.25327692  0.12455423 -0.38392679]
[ 0.25411326  0.12391727 -0.38370714]
[ 0.25541905  0.2093193  -0.3853773 ]
[ 0.2589874   0.20912213 -0.38345468]
[ 0.26053428  0.17360542 -0.37277744]
[ 0.26687679  0.20849062 -0.37914956]
[ 0.27026559  0.2076302  -0.37713666]
[ 0.27095389  0.20746709 -0.37709724]
[ 0.27144189  0.11910626 -0.37773582]
[ 0.27267303  0.11875665 -0.3773129 ]
[ 0.27269329  0.11876055 -0.3773043 ]
[ 0.27293321  0.11880474 -0.37723024]
[ 0.28006699  0.20432156 -0.37644177]
[ 0.28149047  0.20351673 -0.37629696]
[ 0.28261856  0.12066824 -0.37422907]
[ 0.28839966  0.19871162 -0.37547248]
[ 0.28861551  0.12182262 -0.37237073]
[ 0.29222144  0.19500097 -0.37487395]
[ 0.29294474  0.19428425 -0.3746108 ]
[ 0.29482561  0.12632287 -0.36996698]
[ 0.2957888   0.12710643 -0.37056817]
[ 0.29628273  0.1910418  -0.37341315]
[ 0.29749951  0.19007587 -0.37303233]
[ 0.29819119  0.12911005 -0.37208352]
[ 0.29882893  0.13011219 -0.37263725]
[ 0.29946206  0.18725391 -0.37209189]
[ 0.30413126  0.18091537 -0.36995131]
[ 0.3049574   0.17984618 -0.37038521]
[ 0.30500278  0.13801147 -0.37741732]
[ 0.30618685  0.14097625 -0.37880104]
[ 0.3075029   0.14389379 -0.38021734]
[ 0.30797287  0.14493525 -0.3800647 ]
[ 0.30847103  0.16955616 -0.37454849]
[ 0.30865014  0.14852227 -0.3794909 ]
[ 0.30943684  0.16649531 -0.37578667]
[ 0.30960743  0.16348628 -0.37700166]
[ 0.30968332  0.16209004 -0.37724237]
[ 0.31001333  0.15426409 -0.37858665]
