[ 0.22067687  0.17655684 -0.38055722]
[ 0.22074471  0.17614323 -0.38027178]
[ 0.22183434  0.16061655 -0.3827524 ]
[ 0.22202664  0.16514408 -0.38192734]
[ 0.22209228  0.18243065 -0.38426391]
[ 0.22301599  0.15666824 -0.3832028 ]
[ 0.22330823  0.18751896 -0.38747639]
[ 0.22466858  0.18941215 -0.38853921]
[ 0.22476659  0.18956119 -0.38862421]
[ 0.22627582  0.15160471 -0.38343252]
[ 0.23065804  0.19890465 -0.39086288]
[ 0.23409251  0.13918311 -0.38473215]
[ 0.23432704  0.13864379 -0.38480678]
[ 0.23452342  0.13829934 -0.38484636]
[ 0.23503642  0.13788009 -0.38484695]
[ 0.23534027  0.20223299 -0.3909825 ]
[ 0.23977013  0.2053456  -0.39108096]
[ 0.24352451  0.13179679 -0.3846742 ]
[ 0.24423518  0.20705903 -0.39060348]
[ 0.24692448  0.20804269 -0.38946907]
[ 0.24734949  0.20813197 -0.3892714 ]
[ 0.25086561  0.12629449 -0.38457636]
[ 0.25327692  0.12455423 -0.38392679]
[ 0.25411326  0.12391727 -0.38370714]
[ 0.25541905  0.2093193  -0.3853773 ]
[ 0.2589874   0.20912213 -0.38345468]
[ 0.26053428  0.17360542 -0.37277744]
[ 0.26687679  0.20849062 -0.37914956]
[ 0.27026559  0.2076302  -0.37713666]
[ 0.27095389  0.20746709 -0.37709724]
[ 0.27144189  0.11910626 -0.37773582]
[ 0.27267303  0.11875665 -0.3773129 ]
[ 0.27269329  0.11876055 -0.3773043 ]
[ 0.27293321  0.11880474 -0.37723024]
[ 0.28006699  0.20432156 -0.37644177]
[ 0.28149047  0.20351673 -0.37629696]
[ 0.28261856  0.12066824 -0.37422907]
[ 0.28839966  0.19871162 -0.37547248]
[ 0.28861551  0.12182262 -0.37237073]
[ 0.29222144  0.19500097 -0.37487395]
[ 0.29294474  0.19428425 -0.3746108 ]
[ 0.29482561  0.12632287 -0.36996698]
[ 0.29520839  0.12658755 -0.36967409]
[ 0.29628273  0.1910418  -0.37341315]
[ 0.29749951  0.19007587 -0.37303233]
[ 0.29851986  0.12904091 -0.36708633]
[ 0.29946206  0.18725391 -0.37209189]
[ 0.30413126  0.18091537 -0.36995131]
[ 0.30489736  0.13775027 -0.36078774]
[ 0.30494271  0.1798026  -0.36940519]
[ 0.30524955  0.13825795 -0.36068089]
[ 0.30599486  0.13920828 -0.36045662]
[ 0.30621275  0.13973086 -0.36038745]
[ 0.30651473  0.14090693 -0.36028494]
[ 0.30736048  0.17216408 -0.36606963]
[ 0.30928355  0.1671272  -0.36382704]
[ 0.30981904  0.15126865 -0.35920016]
[ 0.30984521  0.16310229 -0.36216283]
[ 0.31026066  0.15527858 -0.35901655]
[ 0.31027318  0.15491612 -0.35901835]
