[ 0.20546978  0.17570014 -0.34363188]
[ 0.20554082  0.17480215 -0.34347991]
[ 0.20576913  0.18273286 -0.34581609]
[ 0.20601302  0.16213284 -0.34152076]
[ 0.20834923  0.18752309 -0.34584836]
[ 0.20930015  0.1912618  -0.3445061 ]
[ 0.20935346  0.15446052 -0.33926932]
[ 0.20942805  0.19425482 -0.34376963]
[ 0.20990702  0.19560884 -0.34321168]
[ 0.21191079  0.14858684 -0.33754569]
[ 0.2119536  0.1485108 -0.3375317]
[ 0.21385766  0.20362224 -0.3405963 ]
[ 0.2148876   0.18844259 -0.34215301]
[ 0.21517131  0.20503258 -0.33988923]
[ 0.21636126  0.20601371 -0.33928717]
[ 0.21965518  0.20741364 -0.33930235]
[ 0.22067687  0.17655684 -0.38055722]
[ 0.22074471  0.17614323 -0.38027178]
[ 0.22183434  0.16061655 -0.3827524 ]
[ 0.22202664  0.16514408 -0.38192734]
[ 0.22209228  0.18243065 -0.38426391]
[ 0.22279099  0.14216009 -0.33349831]
[ 0.22301599  0.15666824 -0.3832028 ]
[ 0.22330823  0.18751896 -0.38747639]
[ 0.22357748  0.14169921 -0.3332056 ]
[ 0.22466858  0.18941215 -0.38853921]
[ 0.22476659  0.18956119 -0.38862421]
[ 0.22627582  0.15160471 -0.38343252]
[ 0.22789544  0.13916889 -0.33159858]
[ 0.22924111  0.21240542 -0.33919097]
[ 0.23065804  0.19890465 -0.39086288]
[ 0.23066317  0.17046104 -0.30319468]
[ 0.2307189   0.21242705 -0.33930059]
[ 0.23137827  0.14361804 -0.33005412]
[ 0.23393098  0.21380249 -0.33571156]
[ 0.23409251  0.13918311 -0.38473215]
[ 0.23432704  0.13864379 -0.38480678]
[ 0.23452342  0.13829934 -0.38484636]
[ 0.23503642  0.13788009 -0.38484695]
[ 0.23534027  0.20223299 -0.3909825 ]
[ 0.2357123   0.13385752 -0.32633106]
[ 0.23857365  0.21590553 -0.3306232 ]
[ 0.23977013  0.2053456  -0.39108096]
[ 0.24014622  0.21646028 -0.32876379]
[ 0.2406229   0.13113514 -0.32500446]
[ 0.24352451  0.13179679 -0.3846742 ]
[ 0.24423518  0.20705903 -0.39060348]
[ 0.24538394  0.21617899 -0.32950896]
[ 0.24692448  0.20804269 -0.38946907]
[ 0.24734949  0.20813197 -0.3892714 ]
[ 0.24811204  0.12543231 -0.32244329]
[ 0.25058727  0.21509374 -0.3298296 ]
[ 0.25086561  0.12629449 -0.38457636]
[ 0.25327692  0.12455423 -0.38392679]
[ 0.25411326  0.12391727 -0.38370714]
[ 0.25541905  0.2093193  -0.3853773 ]
[ 0.25624976  0.12267058 -0.32085182]
[ 0.2589874   0.20912213 -0.38345468]
[ 0.26053428  0.17360542 -0.37277744]
[ 0.26086387  0.21342572 -0.33071041]
[ 0.26289608  0.21353823 -0.32902406]
[ 0.26557641  0.12002343 -0.31920754]
[ 0.26687679  0.20849062 -0.37914956]
[ 0.27026559  0.2076302  -0.37713666]
[ 0.27095389  0.20746709 -0.37709724]
[ 0.27144189  0.11910626 -0.37773582]
[ 0.27267303  0.11875665 -0.3773129 ]
[ 0.27269329  0.11876055 -0.3773043 ]
[ 0.27293321  0.11880474 -0.37723024]
[ 0.2733236   0.20999022 -0.32218223]
[ 0.27362564  0.20989499 -0.32198074]
[ 0.27589921  0.20871736 -0.32066635]
[ 0.27848773  0.11685979 -0.32439788]
[ 0.27919025  0.11692987 -0.32463037]
[ 0.28006699  0.20432156 -0.37644177]
[ 0.28149047  0.20351673 -0.37629696]
[ 0.28261856  0.12066824 -0.37422907]
[ 0.28308531  0.20515621 -0.31644128]
[ 0.28552683  0.20358842 -0.31680579]
[ 0.28552811  0.11794528 -0.32823593]
[ 0.28555331  0.20356551 -0.31681168]
[ 0.28560582  0.18827201 -0.32182326]
[ 0.2856299   0.20348976 -0.31683183]
[ 0.28641128  0.11787639 -0.32880853]
[ 0.28700688  0.11796574 -0.32914938]
[ 0.28839966  0.19871162 -0.37547248]
[ 0.28861551  0.12182262 -0.37237073]
[ 0.28931585  0.1384546  -0.32375276]
[ 0.29077662  0.19858471 -0.31812492]
[ 0.29222144  0.19500097 -0.37487395]
[ 0.29294474  0.19428425 -0.3746108 ]
[ 0.29331304  0.12135484 -0.33194353]
[ 0.29400759  0.12165327 -0.33227623]
[ 0.29459465  0.12188133 -0.33221644]
[ 0.29482561  0.12632287 -0.36996698]
[ 0.29520839  0.12658755 -0.36967409]
[ 0.29561562  0.12285466 -0.33183371]
[ 0.29563333  0.19395604 -0.31934514]
[ 0.29628273  0.1910418  -0.37341315]
[ 0.29718448  0.19182622 -0.31994849]
[ 0.29749951  0.19007587 -0.37303233]
[ 0.29851986  0.12904091 -0.36708633]
[ 0.29946206  0.18725391 -0.37209189]
[ 0.30010788  0.1876365  -0.32338945]
[ 0.30129663  0.12846518 -0.32961006]
[ 0.30202256  0.12918209 -0.32932592]
[ 0.30257488  0.12999333 -0.32898128]
[ 0.30264576  0.18402652 -0.32635568]
[ 0.30394847  0.18225876 -0.32673001]
[ 0.30413126  0.18091537 -0.36995131]
[ 0.30489736  0.13775027 -0.36078774]
[ 0.30494271  0.1798026  -0.36940519]
[ 0.30524955  0.13825795 -0.36068089]
[ 0.30599486  0.13920828 -0.36045662]
[ 0.30621275  0.13973086 -0.36038745]
[ 0.30651473  0.14090693 -0.36028494]
[ 0.30736048  0.17216408 -0.36606963]
[ 0.30751232  0.1381786  -0.32544932]
[ 0.30772988  0.13874118 -0.32519611]
[ 0.30784282  0.13907447 -0.32525006]
[ 0.30800341  0.1731798  -0.32796415]
[ 0.30892263  0.17103436 -0.3282456 ]
[ 0.30928355  0.1671272  -0.36382704]
[ 0.30981904  0.15126865 -0.35920016]
[ 0.30984521  0.16310229 -0.36216283]
[ 0.31026066  0.15527858 -0.35901655]
[ 0.31027318  0.15491612 -0.35901835]
[ 0.31030264  0.14732227 -0.3265598 ]
[ 0.31032301  0.16346287 -0.32875734]
[ 0.31136351  0.15806208 -0.32810189]
[ 0.31136983  0.15764488 -0.32804562]
[ 0.31139842  0.15789749 -0.32808216]
