[ 0.20546978  0.17570014 -0.34363188]
[ 0.20554082  0.17480215 -0.34347991]
[ 0.20559042  0.17472749 -0.34351804]
[ 0.20601302  0.16213284 -0.34152076]
[ 0.20661598  0.16239015 -0.34221042]
[ 0.20935346  0.15446052 -0.33926932]
[ 0.20946917  0.15687319 -0.340979  ]
[ 0.2098049   0.15609435 -0.34074756]
[ 0.21191079  0.14858684 -0.33754569]
[ 0.2119536  0.1485108 -0.3375317]
[ 0.213214    0.14818578 -0.3383974 ]
[ 0.2148876   0.18844259 -0.34215301]
[ 0.22279099  0.14216009 -0.33349831]
[ 0.22281945  0.14217367 -0.33358535]
[ 0.22357748  0.14169921 -0.3332056 ]
[ 0.23137827  0.14361804 -0.33005412]
