[ 0.01450951  0.31046149 -0.12902566]
[ 0.01871047  0.31475248 -0.13965155]
[ 0.02132699  0.31788224 -0.13403688]
[ 0.02203202  0.3167341  -0.14573378]
[ 0.02718765  0.31907708 -0.15396997]
[ 0.03007358  0.31996897 -0.16037827]
[ 0.0301088   0.31998439 -0.16046634]
[ 0.03013666  0.31998562 -0.16051215]
[ 0.03120553  0.32566729 -0.13957873]
[ 0.03189789  0.32631221 -0.14002467]
[ 0.03497952  0.32828855 -0.14149144]
[ 0.03963065  0.32059158 -0.17652724]
[ 0.04041922  0.32046481 -0.17747204]
[ 0.04123575  0.33248588 -0.14457645]
[ 0.04421307  0.33446287 -0.14613153]
[ 0.04602771  0.33530062 -0.14686362]
[ 0.04992877  0.31899887 -0.18872536]
[ 0.05025084  0.31894271 -0.18909292]
[ 0.05083303  0.31875292 -0.18957332]
[ 0.05179422  0.31846263 -0.19041452]
[ 0.05597601  0.28138605 -0.11650856]
[ 0.05846904  0.34024021 -0.15141059]
[ 0.05922618  0.34042584 -0.15197456]
[ 0.06160937  0.31520252 -0.19962581]
[ 0.06249325  0.31513016 -0.19999063]
[ 0.0632125   0.30971247 -0.18935557]
[ 0.06479839  0.34068249 -0.15461233]
[ 0.06557385  0.31505063 -0.20161439]
[ 0.06901262  0.31461119 -0.20271159]
[ 0.07292728  0.34031793 -0.15745281]
[ 0.07306355  0.31375119 -0.20330576]
[ 0.08281347  0.34418482 -0.15332972]
[ 0.08302618  0.34429215 -0.15324554]
[ 0.08321249  0.34434618 -0.1531643 ]
[ 0.0836014   0.34444031 -0.15299121]
[ 0.08381539  0.34434208 -0.15309294]
[ 0.0849532   0.30580866 -0.21541306]
[ 0.08545954  0.34357001 -0.15386817]
[ 0.08583038  0.33042709 -0.14926461]
[ 0.09028367  0.30232298 -0.22086884]
[ 0.09313314  0.34018524 -0.1575669 ]
[ 0.09431903  0.26653577 -0.2127666 ]
[ 0.09457007  0.29834115 -0.22730817]
[ 0.09484344  0.29802843 -0.22769286]
[ 0.09524012  0.29758693 -0.2282565 ]
[ 0.10493967  0.28731056 -0.24226812]
[ 0.10716318  0.33285511 -0.16607476]
[ 0.11136186  0.33042908 -0.16897614]
[ 0.11591783  0.28114248 -0.24845297]
[ 0.1176587   0.32749921 -0.17342672]
[ 0.12553082  0.27539433 -0.25356349]
[ 0.12727124  0.27451649 -0.2542269 ]
[ 0.13026689  0.27297369 -0.25533138]
[ 0.13080949  0.31856715 -0.18232722]
[ 0.13709505  0.1829006  -0.19692152]
[ 0.13752774  0.31363955 -0.18682304]
[ 0.1394005   0.27074833 -0.25478232]
[ 0.1413      0.29475313 -0.18708723]
[ 0.14664296  0.30566769 -0.19498761]
[ 0.15634982  0.30563232 -0.19011078]
[ 0.15734097  0.26735062 -0.25373973]
[ 0.16391302  0.16401437 -0.10409203]
[ 0.16629851  0.29897344 -0.19574397]
[ 0.16639402  0.26037459 -0.26149756]
[0.1671909  0.17100011 0.03498137]
[ 0.16721491  0.29836393 -0.19626185]
[ 0.16839454  0.25889704 -0.26324743]
[ 0.1685438   0.23849941 -0.25210345]
[ 0.17284669  0.25016826 -0.27606615]
[ 0.18206531  0.27256305 -0.13476061]
[ 0.18323043  0.29124953 -0.19959198]
[ 0.18481826  0.24547549 -0.27973163]
[ 0.18702434  0.12126699 -0.25381118]
[ 0.19052521  0.28839716 -0.20120597]
[ 0.19338229  0.07748923 -0.18228207]
[ 0.19426544  0.09865172 -0.2519595 ]
[ 0.19569969  0.10271052 -0.25930603]
[ 0.19633718  0.10732553 -0.26511078]
[ 0.19753472  0.28584539 -0.20280417]
[ 0.19832916  0.11758026 -0.27796331]
[ 0.19845222  0.11844237 -0.27893751]
[ 0.20012763  0.23962242 -0.28467018]
[ 0.20423438  0.06858961 -0.18360781]
[ 0.20506362  0.06596009 -0.16979692]
[ 0.20531006  0.06657826 -0.17568083]
[ 0.20554032  0.28182111 -0.20435161]
[ 0.20559901  0.12628255 -0.28719312]
[ 0.20655413  0.09041381 -0.22688821]
[ 0.20698054  0.23740233 -0.2875589 ]
[ 0.20994595  0.07893363 -0.20118588]
[ 0.20995465  0.07897879 -0.20124569]
[ 0.21231284  0.08336227 -0.20862986]
[ 0.21284844  0.08618935 -0.21405023]
[ 0.21301637  0.27830338 -0.20532944]
[ 0.21318555  0.06934732 -0.14485463]
[ 0.21395984  0.06927984 -0.14303351]
[ 0.21422977  0.06945308 -0.14211806]
[ 0.2151842   0.08106864 -0.12319055]
[ 0.21547865  0.2361315  -0.28852809]
[ 0.21588801  0.13182456 -0.30353867]
[ 0.21616562  0.24953746 -0.19966016]
[ 0.21639639  0.07271609 -0.13209981]
[ 0.21728097  0.23027238 -0.28546957]
[ 0.21728337  0.23587499 -0.28871034]
[ 0.21750109  0.07432356 -0.1230466 ]
[ 0.21790336  0.13291009 -0.30674033]
[ 0.22174393  0.08090589 -0.11692599]
[ 0.2231455   0.10761786 -0.04361655]
[ 0.22342721  0.13670368 -0.31685459]
[ 0.22604188  0.23372463 -0.28907109]
[ 0.22689096  0.27172562 -0.20713318]
[ 0.22724016  0.1375775  -0.32546704]
[ 0.22744465  0.23304242 -0.28987969]
[ 0.22788146  0.09011128 -0.08588475]
[ 0.23059376  0.09366256 -0.07355754]
[ 0.23066317  0.17046104 -0.30319468]
[ 0.23137827  0.14361804 -0.33005412]
[ 0.23160973  0.09559344 -0.06732378]
[ 0.23192855  0.09774388 -0.04094587]
[ 0.23265379  0.09767034 -0.05836656]
[ 0.23299235  0.09859588 -0.05462073]
[ 0.23412819  0.27007583 -0.20457339]
[ 0.2357123   0.13385752 -0.32633106]
[ 0.23585414  0.16294771 -0.04294204]
[ 0.23658592  0.1066748  -0.03645503]
[0.2380621  0.13078062 0.04909057]
[ 0.2406229   0.13113514 -0.32500446]
[ 0.24297083  0.11921437 -0.02663608]
[ 0.2448083   0.22500404 -0.29981247]
[ 0.24486116  0.26616547 -0.20010772]
[ 0.24811204  0.12543231 -0.32244329]
[ 0.25159095  0.14366106 -0.00966559]
[ 0.25225483  0.13616265 -0.01299363]
[ 0.2539484   0.15495861 -0.10394048]
[ 0.25407666  0.2217222  -0.30286047]
[ 0.25477504  0.14077132 -0.00881325]
[ 0.25481887  0.14074603 -0.01507502]
[ 0.25506893  0.14107992 -0.02207232]
[ 0.25536487  0.14161805 -0.03203388]
[ 0.25552089  0.14169461 -0.034851  ]
[ 0.25577456  0.14182197 -0.03946528]
[ 0.25598079  0.22076731 -0.30352453]
[ 0.25624976  0.12267058 -0.32085182]
[ 0.25792257  0.21953977 -0.30423595]
[ 0.25853577  0.14547038 -0.05936835]
[ 0.25910134  0.1459449  -0.06710136]
[ 0.26107451  0.26141336 -0.19097017]
[ 0.26128917  0.14622529 -0.08450371]
[ 0.26174863  0.26120871 -0.19058557]
[ 0.26213765  0.26104878 -0.19033584]
[ 0.26217229  0.14605319 -0.08923322]
[ 0.26529675  0.25977529 -0.18832474]
[ 0.26557641  0.12002343 -0.31920754]
[ 0.26847983  0.21454144 -0.30787781]
[ 0.26864657  0.15229871 -0.10394674]
[ 0.2691862   0.2254903  -0.16413214]
[ 0.27445188  0.21149013 -0.31117825]
[ 0.27593128  0.16186282 -0.11375757]
[ 0.27647214  0.1625032  -0.11442316]
[ 0.27683067  0.16288056 -0.11482188]
[ 0.2782441   0.25195893 -0.18569044]
[ 0.27848773  0.11685979 -0.32439788]
[ 0.27919025  0.11692987 -0.32463037]
[ 0.28173325  0.24846616 -0.18797426]
[ 0.28308531  0.20515621 -0.31644128]
[ 0.28552683  0.20358842 -0.31680579]
[ 0.28552811  0.11794528 -0.32823593]
[ 0.28555331  0.20356551 -0.31681168]
[ 0.28560582  0.18827201 -0.32182326]
[ 0.2856299   0.20348976 -0.31683183]
[ 0.28641128  0.11787639 -0.32880853]
[ 0.28700688  0.11796574 -0.32914938]
[ 0.28931585  0.1384546  -0.32375276]
[ 0.29049975  0.17760766 -0.12943131]
[ 0.29077662  0.19858471 -0.31812492]
[ 0.29107952  0.23632145 -0.19286529]
[ 0.29331304  0.12135484 -0.33194353]
[ 0.29377805  0.234904   -0.19010406]
[ 0.29400759  0.12165327 -0.33227623]
[ 0.29459465  0.12188133 -0.33221644]
[ 0.29561562  0.12285466 -0.33183371]
[ 0.29563333  0.19395604 -0.31934514]
[ 0.29610729  0.2336808  -0.18772131]
[ 0.29718448  0.19182622 -0.31994849]
[ 0.29863973  0.18720763 -0.13880463]
[ 0.29945796  0.23141459 -0.18313362]
[ 0.30010788  0.1876365  -0.32338945]
[ 0.30044437  0.19016273 -0.13933289]
[ 0.30129663  0.12846518 -0.32961006]
[ 0.30202256  0.12918209 -0.32932592]
[ 0.30214727  0.22937018 -0.17981378]
[ 0.30257488  0.12999333 -0.32898128]
[ 0.30264576  0.18402652 -0.32635568]
[ 0.30287671  0.1942817  -0.14009826]
[ 0.30394847  0.18225876 -0.32673001]
[ 0.30530654  0.2116444  -0.14606159]
[ 0.30627276  0.20131704 -0.14167091]
[ 0.3070609   0.22487171 -0.17226151]
[ 0.30751232  0.1381786  -0.32544932]
[ 0.30772988  0.13874118 -0.32519611]
[ 0.30784282  0.13907447 -0.32525006]
[ 0.30800341  0.1731798  -0.32796415]
[ 0.30892263  0.17103436 -0.3282456 ]
[ 0.30920375  0.22293811 -0.16902286]
[ 0.30932125  0.22277598 -0.16873599]
[ 0.30963531  0.2223793  -0.16792469]
[ 0.30982462  0.22184672 -0.16683715]
[ 0.31017744  0.20798541 -0.14690355]
[ 0.31030264  0.14732227 -0.3265598 ]
[ 0.31032301  0.16346287 -0.32875734]
[ 0.31066361  0.20884461 -0.1475688 ]
[ 0.31104838  0.21046484 -0.14854161]
[ 0.31129001  0.2114673  -0.14977854]
[ 0.31136351  0.15806208 -0.32810189]
[ 0.31136983  0.15764488 -0.32804562]
[ 0.31139842  0.15789749 -0.32808216]
[ 0.31272737  0.21673171 -0.15638427]
[ 0.3127286   0.21673572 -0.15639244]
