[-0.06800261  0.22883993 -0.37009597]
[-0.0678295   0.22726727 -0.36980745]
[-0.06761055  0.22456186 -0.36959258]
[-0.06696102  0.23885932 -0.37308968]
[-0.06659812  0.24068882 -0.37372939]
[-0.06514784  0.21306883 -0.36972555]
[-0.06413088  0.20913497 -0.36988981]
[-0.06198581  0.25063212 -0.37862871]
[-0.06151671  0.25154931 -0.37862621]
[-0.06085712  0.25269628 -0.37867118]
[-0.06075083  0.20241406 -0.3712913 ]
[-0.05921131  0.25425729 -0.37922538]
[-0.05777367  0.19639131 -0.37270144]
[-0.05488463  0.19143397 -0.37417996]
[-0.05389415  0.25935853 -0.38099612]
[-0.05222985  0.18792119 -0.375668  ]
[-0.05073952  0.26101018 -0.38251381]
[-0.05035437  0.18486071 -0.37800851]
[-0.04955864  0.26165498 -0.38464032]
[-0.04806326  0.25350326 -0.38682794]
[-0.04677369  0.26282236 -0.38963551]
[-0.04648333  0.17760541 -0.38305015]
[-0.04637225  0.26300014 -0.39035607]
[-0.04543176  0.26343237 -0.39069888]
[-0.0421404   0.1720638  -0.38812281]
[-0.03728958  0.26494207 -0.39292129]
[-0.03615805  0.26520859 -0.39324908]
[-0.03542851  0.26518455 -0.39339501]
[-0.03497405  0.16650622 -0.38910964]
[-0.03425645  0.1659728  -0.38921504]
[-0.03336597  0.2650723  -0.3945368 ]
[-0.03157792  0.1645445  -0.38976906]
[-0.02179077  0.15885036 -0.3916578 ]
[-0.0204148   0.26466661 -0.40169604]
[-0.01915944  0.15808301 -0.39238349]
[-0.01533779  0.26362261 -0.40453311]
[-0.01345442  0.15596082 -0.39382602]
[-0.01235135  0.26305877 -0.4055964 ]
[-0.01023306  0.15447578 -0.39556502]
[-0.00668868  0.20838015 -0.41121342]
[-0.00509242  0.26149463 -0.40819387]
[-0.00135934  0.15489844 -0.40147153]
[-0.00110553  0.15489099 -0.40163564]
[ 0.00432966  0.25809612 -0.41165728]
[ 0.00518447  0.25777931 -0.41204975]
[ 0.00764997  0.25687167 -0.41318121]
[ 0.00792485  0.15909266 -0.40857915]
[ 0.00849496  0.15928215 -0.40899878]
[ 0.0093378   0.25601785 -0.41397573]
[ 0.01008743  0.16068818 -0.41038772]
[ 0.01188628  0.16237388 -0.41146394]
[ 0.01729542  0.25227744 -0.41769718]
[ 0.01800776  0.16742577 -0.41500905]
[ 0.01918687  0.16892356 -0.41578179]
[ 0.01992019  0.25060173 -0.4189626 ]
[ 0.02149781  0.1750328  -0.41783992]
[ 0.02164849  0.17530396 -0.41795234]
[ 0.02469965  0.18167646 -0.41788424]
[ 0.0248555   0.18207051 -0.41787528]
[ 0.0257268   0.24731863 -0.42172561]
[ 0.02575349  0.24728627 -0.4217398 ]
[ 0.0276173   0.24501314 -0.42125975]
[ 0.0289957   0.18967191 -0.41786642]
[ 0.03173558  0.19841887 -0.42119193]
[ 0.03174302  0.19605621 -0.42054136]
[ 0.03199867  0.20007241 -0.42173615]
[ 0.03211742  0.24064575 -0.42037044]
[ 0.03368928  0.23438473 -0.41892035]
[ 0.03404354  0.21164717 -0.42561297]
[ 0.03464562  0.23040212 -0.4179964 ]
[ 0.03479169  0.22709824 -0.41720666]
[ 0.03508885  0.22464236 -0.4187087 ]
[ 0.03515362  0.21820347 -0.42236197]
